SampleNumber,GPStime,Type,Period,Network,DistMean,DistSTD,DistMax,LogBCI,LogBSN,ProbMin,ProbMax,ProbMedian,ProbStd,Vol0Min,Vol0Max,Vol0Median,Vol0Std,Vol1Min,Vol1Max,Vol1Median,Vol1Std,Vol2Min,Vol2Max,Vol2Median,Vol2Std
b00001,1126095165,Blips,GW151012,111000,466.967,145.19,829.943,3.821,4.428,1.371714968999267e-09,3.908253974192701e-05,2.2481499650162792e-08,4.57365720436886e-06,6.290235949418651e-12,0.002,3.408742436522753e-07,0.0002485390536697,3.6365372460190025e-12,0.002,5.473333948171821e-07,0.0002360115418726,4.0951869903577125e-11,0.0003744385022682,7.10655685428572e-06,9.046743610784946e-05
b00002,1126106139,Blips,GW151012,111000,1084.382,472.687,2266.099,0.004,1.394,1.5210653609385256e-08,4.1558401406755895e-05,3.202147447240849e-07,3.63529790075116e-06,2.548491991685726e-10,0.005,1.2788477252696528e-05,0.0002659437774786,2.3426016741998816e-10,0.003,8.574851573033707e-06,0.0002224614702759,4.9229879850014057e-11,0.003,9.426558071695258e-06,0.0002108941307352
b00003,1126259245,Blips,GW151012,111000,192.328,60.161,342.732,3.987,4.409,1.8935830864011467e-09,6.822195589110028e-05,1.0230375380563357e-08,5.654154593203336e-06,2.008011785786653e-11,0.003,2.399054737070481e-07,0.0003102573371598,8.82985179531437e-12,0.004,3.36524421246948e-07,0.0003042391810212,1.5140041826755776e-10,0.0003793519116598,7.75423406672642e-06,9.008878965841711e-05
b00004,1126403702,Blips,GW151012,111000,393.522,68.572,564.953,2.224,-3.216,5.966472618196948e-06,7.699761552550099e-05,1.5395900166211533e-05,1.2465428417353212e-05,7.213712841204359e-14,0.0003711867685951,3.0719339531202106e-05,6.752709483595732e-05,3.9066054948784526e-14,0.0002943564723458,3.215434793131648e-05,6.688711458338312e-05,7.578801151946547e-14,0.0002644788176114,3.392025159715601e-05,6.270007482318662e-05
b00005,1126408692,Blips,GW151012,111000,305.501,102.792,562.481,-0.534,-0.984,6.026354645709963e-07,0.0001005300682301,2.197977843497363e-06,7.187321669896367e-06,1.2506179366676732e-13,0.003,8.718079897625678e-06,0.0001465323283038,1.8778155469253664e-14,0.002,1.2318014045438657e-05,0.0001325771328862,1.1393374767934833e-12,0.0008968607511125,1.754423553104179e-05,0.0001036042164024
b00006,1126565903,Blips,GW151012,111000,40.664,9.869,65.337,-4.337,828.309,0.0,0.0001606012581059,6.585303916680091e-166,1.0856667319884031e-06,0.0,0.278,3.5112067413250155e-138,0.003,0.0,0.033,4.7755890113950084e-130,0.001,0.0,0.019,1.466725447773895e-107,0.0006911167577975
b00007,1127027788,Blips,GW151012,111000,694.067,212.547,1225.434,1.944,1.626,2.9087569867995693e-08,2.802765178078556e-05,1.2865003808764105e-07,3.795459222133577e-06,5.612495350407109e-12,0.005,2.101801575557083e-06,0.0003104928613203,5.12834158530297e-13,0.002,3.360115866772221e-06,0.0002448839881438,6.47652986899707e-11,0.0002587373237259,1.5226544655484543e-05,7.671915258165024e-05
b00008,1127037080,Blips,GW151012,111000,1525.629,523.437,2834.221,3.406,7.884,3.1818096174083657e-10,9.447923651826312e-05,3.907453058632314e-08,1.2999012068787562e-05,2.9112907725406785e-14,0.002,6.546654573683711e-08,0.0002253504562661,3.891792757371352e-11,0.0004468326061817,3.774320020036817e-06,9.923562607764464e-05,9.37091340486951e-13,0.001,2.2217233559093003e-07,0.0001470152313723
b00009,1127196396,Blips,GW151012,111000,1452.513,704.045,3212.624,0.235,0.096,5.247055842263404e-08,8.100913341151908e-05,3.708569462899307e-07,5.131987146307348e-06,1.2445356271154934e-10,0.019,1.5809474913330396e-05,0.0005043667048585,2.5098421833760342e-11,0.006,1.0418216879787405e-05,0.0003141247267194,2.0911666935633437e-12,0.004,1.093827349933263e-05,0.0002766631816404
b00010,1127260816,Blips,GW151012,111000,326.594,102.666,583.258,3.526,4.709,2.094376138424322e-09,3.0069991112702515e-05,4.317888546150468e-08,3.7181130599068526e-06,3.0257038967594783e-11,0.003,3.620610862210708e-07,0.0003019909813784,3.740399686620278e-12,0.002,8.655549608056602e-07,0.0002373517681529,4.5289646303125107e-11,0.0003263976043136,1.040742351117727e-05,8.56372106435663e-05
b00011,1127265027,Blips,GW151012,111000,255.731,83.526,464.546,3.004,4.062,5.682527850945456e-09,8.700839050296908e-05,1.3653688255569765e-07,1.292190191440208e-05,4.132149232853689e-13,0.001,4.875623109833659e-07,0.0002019210049756,4.042834923991034e-12,0.0007913690233472,1.3444999965760053e-06,0.0001356051176147,1.8504532313377397e-11,0.0004186896958908,5.002158347996921e-06,9.525907822439038e-05
b00012,1127433619,Blips,GW151012,111000,1312.346,666.224,2977.907,-0.189,1.232,9.0396193271e-09,2.6662296205878e-05,4.7804432605214406e-08,1.5092187660861411e-06,2.536220419316056e-09,0.024,1.093837380576931e-05,0.0005949262754715,2.763649383210477e-09,0.006,8.036267946607141e-06,0.0003621070406056,1.4174095072828116e-09,0.006,1.0402710662236728e-05,0.0003274968511438
b00013,1127517997,Blips,GW151012,111000,893.905,591.286,2372.119,-2.42,1.633,7.0444948565922794e-09,5.610825655724284e-05,1.438580900069589e-07,1.6434595474840657e-06,2.7273628689171476e-11,0.026,4.947059497403857e-06,0.0005814701373379,3.9299837533681077e-10,0.024,8.164862423528845e-06,0.0005588904233413,1.9098666512381742e-10,0.028,1.147738982310645e-05,0.0006003976099503
b00014,1127527549,Blips,GW151012,111000,1189.571,444.76,2301.471,1.558,11.583,4.2146068356945563e-13,5.442592531037885e-05,1.601736288110774e-09,4.293047181203186e-06,0.0,0.004,2.0603547882483147e-08,0.0002973044960974,2.180402993627829e-12,0.004,1.919603261865122e-08,0.0002838903757673,5.863011708489259e-12,0.0007493731299628,3.478563782536193e-06,0.0001146696426159
b00015,1127557524,Blips,GW151012,111000,242.002,98.663,488.659,1.616,1.491,4.619018567899165e-08,4.2758585994963904e-05,1.998796855118021e-07,3.579136092608461e-06,7.542967206012299e-10,0.003,1.0995088414504802e-05,0.0002194596502603,2.1082908915705823e-09,0.003,5.863271657268217e-06,0.0002214060873121,1.7225795684790918e-10,0.002,9.414268103819603e-06,0.000178578317909
b00016,1127606671,Blips,GW151012,111000,2083.263,377.238,3026.357,2.169,-3.115,5.0876166313308935e-06,6.95183170099181e-05,1.4907571749970236e-05,1.2851501047644372e-05,1.3184649245264311e-14,0.0002954472183473,2.601664790808927e-05,7.01706836345305e-05,3.0184386396327464e-14,0.0003281100533144,2.7518944206462386e-05,7.295352763885187e-05,7.332103523108109e-13,0.0003034986386971,3.123547770564566e-05,6.521986143471635e-05
b00017,1127621305,Blips,GW151012,111000,4.54,2.877,11.733,-9.103,1743.184,0.0,0.005,0.0,1.954140998302142e-05,0.0,0.093,4.775275402549479e-213,0.002,0.0,0.592,2.0189511583166766e-209,0.005,0.0,0.113,9.120670672209061e-166,0.002
b00018,1127725267,Blips,GW151012,111000,638.328,111.202,916.332,2.225,-3.218,5.958156826132625e-06,7.717538293345569e-05,1.5414549748560668e-05,1.2484247765452538e-05,7.204385848494097e-14,0.0003724158770517,3.071757055161429e-05,6.755581470206366e-05,3.85321200128899e-14,0.0002945827420775,3.2111497501526125e-05,6.690883666650439e-05,7.38020147172689e-14,0.0002646815714724,3.391591886914182e-05,6.271776131349459e-05
b00019,1128261300,Blips,GW151012,111000,508.574,171.596,937.563,3.335,5.484,6.147396428615671e-10,3.040903273673269e-05,1.0464772278216877e-08,4.237072585060962e-06,5.2535858377578895e-15,0.001,2.1139888960498594e-07,0.0002063420719563,7.36905217502137e-11,0.0004209991630112,4.148926816542574e-06,9.747126549591486e-05,1.2694442435621674e-11,0.002,2.83509663096023e-07,0.000207899663828
b00020,1128539059,Blips,GW151012,111000,2679.739,475.157,3867.633,2.152,-3.085,6.346746781318583e-06,6.827579425500208e-05,1.5732156806330224e-05,1.1416009006503709e-05,8.521912175572611e-14,0.000327531711509,3.0875482134362875e-05,6.607899484311347e-05,4.85052345882756e-14,0.000279238838214,3.214336846440423e-05,6.575677328068865e-05,1.5290175966558282e-13,0.0002503939865851,3.463640996757689e-05,6.181313371632228e-05
b00021,1128638362,Blips,GW151012,111000,2924.693,895.297,5162.936,3.578,5.163,5.550785023466151e-10,4.615312638142365e-05,2.5544515993298857e-08,4.520153052359388e-06,2.495450851915868e-11,0.003,3.036673091494744e-07,0.0003068045749336,5.210304537496318e-12,0.003,6.081195750387396e-07,0.000276986065587,3.205669764266083e-11,0.0003700393772942,9.267130021942245e-06,8.782097707612964e-05
b00022,1128649548,Blips,GW151012,111000,183.368,75.819,372.914,1.723,2.981,1.1431324071322344e-08,3.775255706904105e-05,5.628117585362501e-08,4.2393521513074655e-06,8.333767122640543e-09,0.004,4.5797773878086505e-06,0.0002655381408073,1.8658571777497208e-09,0.003,2.2186926815889014e-06,0.0002621586234685,5.427063993772842e-09,0.001,3.205659475602444e-06,0.0001896968452118
b00023,1128736532,Blips,GW151012,111000,265.735,77.722,460.039,3.746,4.737,7.280050524639968e-09,9.022880211384676e-05,1.6346127856880254e-07,1.255252845017061e-05,1.891453999680044e-12,0.002,3.110940625462236e-07,0.0002272566029021,2.7646213837254523e-13,0.002,6.727450525250631e-07,0.0001889209565214,3.370601538284834e-11,0.0003406822954368,9.957909278534113e-06,8.67555455517342e-05
b00024,1129071782,Blips,GW151012,111000,1213.195,473.105,2395.959,0.342,11.528,1.7545984758101177e-12,3.009281866920425e-05,2.353379903398068e-09,3.4739728761634536e-06,1.3603082721099483e-31,0.004,1.1768835911820345e-08,0.0003227589442203,1.6194796937149372e-12,0.003,2.011006750239607e-08,0.000246371307553,4.3641743688228774e-13,0.0007463752485005,4.776061059517046e-06,9.192640947834002e-05
b00025,1129515890,Blips,GW151012,111000,357.401,164.479,768.598,-0.716,0.469,4.158296631133119e-08,4.782730805173571e-05,6.603063774928677e-07,2.727798993886532e-06,2.8261456433655745e-11,0.005,5.052521113312672e-06,0.0002018147408947,1.1078797094996285e-13,0.007,9.555621131538612e-06,0.000226800022482,2.248846137647406e-13,0.007,1.1571956890971789e-05,0.0002525075074389
b00026,1129528069,Blips,GW151012,111000,835.196,331.531,1664.023,1.628,2.92,9.538558898665712e-09,4.3842489788317087e-05,1.1471046862073572e-07,4.002106187197922e-06,6.832850084002815e-10,0.003,1.910608836092223e-06,0.0002213837775649,2.0544259793464568e-10,0.006,9.78287463998085e-06,0.000256136278636,2.14745261580752e-11,0.001,4.351103249789709e-06,0.0001515074789922
b00027,1129644040,Blips,GW151012,111000,46.973,13.53,80.798,2.437,97.342,2.1401696334913543e-49,0.0001134572522782,1.893316806856273e-14,7.0777178831435016e-06,0.0,0.006,2.0112784821973748e-16,0.0003760056537994,0.0,0.003,1.7701675217164352e-18,0.0002977350045671,0.0,0.002,7.836630483057671e-15,0.0002480947715516
b00028,1129676384,Blips,GW151012,111000,2052.123,620.02,3602.172,3.747,4.595,1.5512649750208787e-09,6.690666488244854e-05,1.17139856855266e-08,5.896119264847953e-06,1.6119002685818981e-13,0.002,2.661768936233564e-07,0.0002574008834915,2.387793880495245e-12,0.002,4.514470875339767e-07,0.0002287430985196,1.2292087570764376e-11,0.0003845313282463,6.4956540986831885e-06,9.209298254323388e-05
b00029,1130151117,Blips,GW151012,111000,1097.562,349.536,1971.402,3.161,4.689,7.415864163002783e-10,3.90386700354004e-05,1.7894442943405884e-08,4.395952590886127e-06,1.881985000475032e-11,0.005,2.561212885113581e-07,0.0003415209174473,1.8518778281466414e-12,0.003,3.885885031111298e-07,0.0002671380458764,5.5149404609112606e-11,0.0003217022764226,9.012912038902017e-06,8.496507470502607e-05
b00030,1130323668,Blips,GW151012,111000,445.867,136.35,786.741,3.808,4.329,1.8862398005066484e-09,3.9973901347470496e-05,2.1081561075850168e-08,4.231809366566082e-06,1.0807251987595723e-11,0.002,3.384758167780132e-07,0.0002611879157588,4.4780046031506376e-12,0.002,5.315528886518026e-07,0.000234095633797,8.022801383576849e-11,0.0003803563798782,8.468946078012489e-06,8.971689688434615e-05
b00031,1130530789,Blips,GW151012,111000,1059.517,307.6,1828.517,1.076,1.592,3.446730835460618e-08,3.173913217240971e-05,1.535650666679996e-07,3.540377433311893e-06,5.82927777205034e-11,0.002,2.566064349735088e-06,0.0001878379834408,3.355836046554854e-13,0.001,4.797423065448682e-06,0.0001580922931526,5.6864810251479785e-12,0.0003610384026917,1.2338418070177863e-05,8.278849013819362e-05
b00032,1130639915,Blips,GW151012,111000,682.477,189.4,1155.978,3.697,37.307,2.663123700823976e-23,0.0001137263592178,2.7165407005910092e-14,6.1966675906400425e-06,1.0078916152492074e-32,0.006,7.436385228892308e-11,0.000347902906269,1.1813963035982036e-32,0.004,5.703525899838218e-13,0.0003378599577896,9.320543037481356e-37,0.002,8.7698776435105e-11,0.0001995402752097
b00033,1130824300,Blips,GW151012,111000,250.54,86.003,465.547,2.38,3.955,1.577746010313034e-08,0.0001049904964788,1.30170953905253e-07,1.2856422149258796e-05,6.919052590907526e-14,0.002,5.324485337596905e-07,0.0002001865035421,6.331016694966151e-12,0.0009075568305476,1.3255952515416571e-06,0.0001234655946671,9.667641244986608e-12,0.0009676985990933,6.644476507012141e-06,8.709432884234531e-05
b00034,1130841311,Blips,GW151012,111000,313.949,99.427,562.517,2.654,4.375,1.0419554177588104e-08,8.557437258131094e-05,1.2396012467459753e-07,1.3418111892155015e-05,4.41150066628899e-13,0.002,4.606244848902269e-07,0.0002235478594745,1.7765610418347148e-12,0.0008652949931042,1.079091985877901e-06,0.0001407453012095,1.4297055785652459e-11,0.0003811057846785,5.611812764115431e-06,9.17818091054575e-05
b00035,1130862644,Blips,GW151012,111000,274.135,88.167,494.552,4.228,6.434,2.9897624685438147e-10,4.517826206148241e-05,5.144370199517125e-09,4.528434668519245e-06,9.650260504144012e-15,0.002,8.357211587631834e-08,0.0002190593793302,9.116463023667832e-11,0.0004601419188183,4.170689083929665e-06,9.872519013322908e-05,8.781252642617555e-12,0.003,1.2592021197804888e-07,0.0002377544501335
b00036,1131155781,Blips,GW151012,111000,827.839,289.958,1552.733,3.054,3.149,2.267459968855986e-09,4.98641553342742e-05,3.0641255902361465e-08,4.679727623688137e-06,6.359467452947491e-10,0.0007446112155326,2.809726130677789e-06,0.0001197763650439,1.948260388829288e-10,0.002,1.4760998229600722e-06,0.0001919375497088,7.492192164540389e-11,0.002,1.6538476251466477e-06,0.0002005579258382
b00037,1131356931,Blips,GW151012,111000,224.312,76.95,416.686,3.061,4.9,6.152253277485372e-09,7.714822946356973e-05,1.4902416686696492e-07,1.2352508960652476e-05,4.008564322519548e-12,0.001,4.788054812109626e-07,0.0001959644531526,3.3938273089413725e-10,0.0004076942759334,6.459488878852371e-06,9.200724062633146e-05,1.4052142386452436e-11,0.002,8.649353467549201e-07,0.0001825511281093
b00038,1131413200,Blips,GW151012,111000,721.599,219.879,1271.297,3.035,3.746,2.853535429232525e-09,3.6995151813733264e-05,4.68623013340141e-08,4.360505274848422e-06,2.9617039889916556e-11,0.004,5.448759593668125e-07,0.0003445707258859,5.22858340157546e-12,0.003,9.708970805219331e-07,0.0002790857551125,4.650289032309565e-11,0.0003055687022412,1.1138801782788604e-05,8.327716484953727e-05
b00039,1131645426,Blips,GW151012,111000,859.33,286.377,1575.273,3.625,5.048,1.2584486008909055e-09,4.143025826837432e-05,1.1069719044670057e-08,4.336250114276287e-06,4.3155161571312734e-13,0.002,2.733509787199057e-07,0.0002165979283021,1.808573520299753e-11,0.0007817438682116,1.3945926074076491e-06,0.0001267713884892,2.929656889144576e-11,0.000586890577815,3.4666653420677377e-06,0.0001098186123494
b00040,1131713453,Blips,GW151012,111000,923.614,317.817,1718.156,2.229,7.495,9.367726893436008e-11,5.914562767996708e-05,1.7731466555220615e-09,5.362082047651101e-06,1.5383576727356222e-08,0.004,3.402753601777124e-07,0.0002823814670214,2.726107438642594e-09,0.003,7.420699854671109e-08,0.0002765271929605,9.65288104848389e-09,0.001,8.614027700663073e-08,0.0001944628432885
b00041,1131721391,Blips,GW151012,111000,806.035,262.806,1463.05,3.262,3.839,4.800613993795382e-09,4.65118359487366e-05,1.6816188060681277e-07,3.7541422683742494e-06,1.8406809179375668e-10,0.002,1.3865561714464814e-06,0.0002095403480236,8.042445696007887e-11,0.001,3.5636412326770416e-06,0.000152318965916,8.807048004088744e-11,0.0005792293094712,6.648431170715562e-06,0.0001076442157744
b00042,1132065620,Blips,GW151012,111000,817.472,295.03,1555.047,2.333,2.53,1.6778025702956158e-08,3.995393450444599e-05,9.80329755144516e-08,4.0125779313532695e-06,2.073697174001609e-11,0.003,2.187647412225967e-06,0.0002059299811693,4.034816585923688e-10,0.0006267924522129,6.6654340595453644e-06,9.954525044702084e-05,6.254847448683978e-11,0.002,3.1889385907391604e-06,0.0002010570758454
b00043,1132066644,Blips,GW151012,111000,224.46,158.455,620.598,-1.368,0.517,2.7028400693579122e-08,4.553333574294696e-05,1.261647156379121e-07,1.4523439251628254e-06,7.677568320028631e-10,0.019,5.940302459773602e-06,0.000448040415494,2.2070795036548548e-12,0.042,9.841177376973745e-06,0.0007105959229797,1.898963027701113e-11,0.036,1.1995393546584457e-05,0.0006738723768642
b00044,1132068211,Blips,GW151012,111000,1006.594,177.173,1449.526,2.183,-3.137,6.2077764896144816e-06,7.162093124341335e-05,1.5604621176556612e-05,1.1817691260147756e-05,7.88651908852329e-14,0.000343912349577,3.0720551115634225e-05,6.659646848287718e-05,4.4488637879408816e-14,0.0002853207484728,3.234308264916666e-05,6.616484060007807e-05,1.1412575109604666e-13,0.0002559447782551,3.435910819325297e-05,6.213677556819467e-05
b00045,1132148478,Blips,GW151012,111000,817.867,252.604,1449.377,3.63,4.393,2.3528273768220717e-09,3.5979093943317835e-05,2.0194190990531e-08,4.21076086148553e-06,1.1506845839471496e-11,0.004,3.1973463297860865e-07,0.0003285117732582,5.223516624613345e-13,0.003,5.317290279947347e-07,0.0002648068305663,4.054609496498113e-11,0.0003260489993225,1.0102594240316152e-05,8.593082680729007e-05
b00046,1132159266,Blips,GW151012,111000,1733.319,549.432,3106.899,3.574,5.277,4.2140263488042135e-09,0.0001118023261974,8.597589631277211e-08,1.5320517656011405e-05,4.9338566430283935e-14,0.002,2.99539311786836e-07,0.0002331608707068,1.7135373735160217e-11,0.001,6.569608378767209e-07,0.0001868627948733,4.790093049013788e-11,0.0003721204441325,6.57731509608763e-06,9.11129653033525e-05
b00047,1132332782,Blips,GW151012,111000,663.052,223.751,1222.43,3.457,4.537,2.395607706415486e-09,3.6199442670472025e-05,2.7838917234014784e-08,3.922796731721776e-06,5.1452830116321e-13,0.002,6.569947443800062e-07,0.0001975261623265,1.259036263984204e-10,0.0004784812872616,3.9226512545432295e-06,0.000101346088766,3.1471311388430454e-11,0.002,7.134546011416122e-07,0.0002108988317838
b00048,1132375444,Blips,GW151012,111000,561.464,173.422,995.019,3.438,4.472,4.087256343696755e-10,5.1405462851562206e-05,2.4745643673027413e-08,5.220866940281108e-06,2.5936276659565004e-11,0.003,3.372373917162765e-07,0.000311584306261,2.7665995058550425e-12,0.004,5.779018167468489e-07,0.0003109084491139,4.8955676554997546e-11,0.0003261817076909,8.893986642979605e-06,8.639042533220628e-05
b00049,1132375517,Blips,GW151012,111000,1611.569,614.434,3147.653,1.664,6.06,3.5946571171563563e-10,3.027169575137425e-05,3.801449262286472e-08,3.475399898199751e-06,6.1071679242732655e-09,0.002,5.131503249474957e-06,0.0001908953788726,5.071221733786411e-10,0.002,1.4853235580549971e-06,0.000217024660654,1.540842957039279e-08,0.001,3.6602417634471022e-06,0.0001694016498913
b00050,1132383470,Blips,GW151012,111000,1104.76,371.554,2033.646,2.436,4.702,1.8084843759712102e-09,3.071965602956168e-05,2.2071212358293856e-08,3.3620116999108297e-06,2.0882117509654692e-13,0.003,3.123028802163148e-07,0.0002447148232251,8.313831498372989e-12,0.002,6.450641037834859e-07,0.000183675098213,7.85167697663199e-11,0.0003347731216455,9.616789343367223e-06,8.470370068749601e-05
b00051,1132715830,Blips,GW151012,111000,635.707,193.323,1119.014,3.736,4.243,7.81758929670258e-10,3.784437641135614e-05,1.7250423658493768e-08,4.3063821507241215e-06,1.510315690482149e-11,0.002,3.161526185056009e-07,0.0002800795011022,8.04186919082673e-13,0.003,4.430225790012471e-07,0.0002520166551305,5.554644204405354e-11,0.0003538503590469,9.006475132313656e-06,8.872323935158095e-05
b00052,1132752808,Blips,GW151012,111000,396.158,69.374,569.592,2.204,-3.176,6.096775194856857e-06,7.419238810535121e-05,1.5524806947468836e-05,1.2130717544387549e-05,7.493861773037694e-14,0.0003568728540804,3.052061419222802e-05,6.703282413583346e-05,4.098176593607455e-14,0.0002897446678333,3.2237207391646747e-05,6.650502096478555e-05,9.313287939221573e-14,0.0002602362892349,3.4243537452732584e-05,6.240315874554068e-05
b00053,1132899089,Blips,GW151012,111000,508.754,153.656,892.895,2.51,3.004,4.03962812349801e-08,9.603184652465692e-05,3.4725838118814894e-07,1.3277246036966074e-05,3.281093591474631e-12,0.004,9.40222516560766e-07,0.0002704152820191,2.6026723858235577e-13,0.002,1.6635305184884708e-06,0.0002131676743816,5.2820971010227865e-11,0.0002948740605709,1.4199577760977336e-05,8.041681030407824e-05
b00054,1132900812,Blips,GW151012,111000,282.218,102.639,538.815,1.82,6.662,2.0059733153745207e-10,4.816715592036474e-05,3.537789394559805e-09,4.540856709852089e-06,1.2682623708518729e-08,0.003,9.238818686735292e-07,0.0002571094528048,5.750379442104615e-09,0.003,1.2506815511122196e-07,0.0002560361972578,1.7555665393684884e-08,0.001,1.4121163093181858e-07,0.0001822712862081
b00055,1132921660,Blips,GW151012,111000,404.744,142.286,760.458,1.58,2.487,7.206291452020909e-08,7.72787742582578e-05,2.4617867824299297e-07,1.2207264456270473e-05,3.715225991428818e-11,0.000921953249503,5.584942556034463e-06,0.00012184842959,6.735362006459533e-12,0.002,2.3689087878023715e-06,0.000189727984358,1.692284847608887e-11,0.0009467275092339,3.6210744075733777e-06,0.0001461423794097
b00056,1133063885,Blips,GW151012,111000,274.23,101.282,527.436,2.824,3.72,5.208994716441299e-09,5.3001240433942886e-05,1.5186276404702442e-08,4.246610526648477e-06,5.043831185993089e-09,0.002,3.417656868939036e-06,0.0002123714941801,2.7105787013267493e-09,0.002,1.5029000221188505e-06,0.0002067443639171,2.4405906291472594e-09,0.002,1.9534312669521967e-06,0.0001813203242226
b00057,1133083496,Blips,GW151012,111000,202.475,79.595,401.463,0.405,1.788,1.55840199497038e-07,0.0001094084911087,5.749820367481504e-07,1.228621797665497e-05,9.17482403107832e-12,0.003,2.936576120523545e-06,0.0001917804461912,3.743223012722548e-12,0.01,6.872731130494233e-06,0.0001781006288033,1.0587454461529477e-12,0.004,5.316229438894761e-06,0.000180970415534
b00058,1133142758,Blips,GW151012,111000,335.7,107.598,604.694,3.866,7.012,5.961685521481438e-10,0.0001006771970421,1.6175241763159922e-08,1.3946669278274606e-05,1.8520191450033024e-12,0.003,4.13389299696816e-08,0.0002864362438844,9.14651112549309e-13,0.002,7.655836832003074e-08,0.000217519964975,2.052873471545902e-11,0.0003334335894268,8.551545359217458e-06,8.779206778269531e-05
b00059,1133192749,Blips,GW151012,111000,640.696,264.785,1302.66,1.178,1.525,1.4319608291716578e-08,7.39019195718291e-05,1.1087611273688549e-07,5.947712363538965e-06,6.546808892335439e-09,0.009,5.838600060440471e-06,0.0003901642524584,5.602258733081773e-09,0.004,5.070755608240164e-06,0.0003094011696925,4.214865585178991e-09,0.002,5.594733659455178e-06,0.0002273498508878
b00060,1133206667,Blips,GW151012,111000,223.764,90.54,450.114,2.158,2.947,1.1394655323592354e-08,3.828744434214254e-05,3.7611721699698806e-08,4.258639858846527e-06,5.204068212826027e-09,0.004,4.894753771978186e-06,0.0002627322966387,6.361536910499867e-09,0.003,1.6094624481541136e-06,0.0002685614121489,3.561320320095639e-09,0.002,2.089691092524173e-06,0.0001884225272572
b00061,1133373498,Blips,GW151012,111000,602.878,267.601,1271.879,0.272,2.385,7.042441155513266e-09,3.719648471871351e-05,2.388023234654768e-07,3.192152651050508e-06,2.006149353867792e-11,0.003,2.817521129732752e-06,0.0002237423494437,2.7090814820481684e-10,0.008,1.4885588435345655e-05,0.0002787532022833,1.1548594209456577e-12,0.003,6.2782220615210605e-06,0.0002022968180185
b00062,1133596402,Blips,GW151012,111000,370.786,171.901,800.54,0.929,1.37,5.3173721100100174e-08,6.239197773236456e-05,1.9190048065082442e-07,4.8256340941637495e-06,2.968493112377638e-09,0.011,8.821134690301866e-06,0.000390424947473,6.0372466359577015e-09,0.004,7.206310947749464e-06,0.000297294977233,1.7662353764314264e-09,0.003,9.108830900312157e-06,0.0002469348267836
b00063,1134324585,Blips,GW151012,111000,391.155,175.186,829.12,-4.109,16.682,1.916708092635975e-15,0.0001137798652601,1.6258837362443154e-09,2.7421754309986025e-06,0.0,0.038,1.6073368749351318e-07,0.0008788896210276,2.2969858643386517e-11,0.007,2.412611502900237e-07,0.0003649356479844,1.6924647972660211e-28,0.012,1.2368213900309557e-07,0.0004777250962217
b00064,1134338808,Blips,GW151012,111000,248.993,89.224,472.053,3.22,3.549,5.2984566747833756e-09,6.953845490970802e-05,1.6010687815480768e-08,4.721917384607074e-06,6.495915101747378e-10,0.005,9.3286585452441e-07,0.0002923192734154,6.128386511124322e-10,0.0006477453234277,1.1693487604694166e-06,0.0001289080265874,1.5775829034494966e-10,0.003,8.146627834116234e-07,0.0002407958181961
b00065,1134461960,Blips,GW151012,111000,24.556,7.109,42.329,-2.853,314.457,1.083176844347149e-142,7.537674384001144e-05,2.8011142364582975e-29,5.811109573645086e-07,4.0598027509954907e-134,0.034,7.962444839677338e-21,0.0007581456359441,8.429960131899697e-54,0.015,1.8006484388504408e-15,0.0004855222330724,8.204418849005277e-60,0.019,9.936786001944733e-14,0.0006088575571696
b00066,1134795469,Blips,GW151012,111000,353.444,115.988,643.413,3.542,4.327,2.846670787524525e-09,3.9372308678910505e-05,7.819332272316955e-08,3.771865549433477e-06,5.6222641876795436e-11,0.003,4.31250004856027e-07,0.0002762119779656,9.47949826848804e-12,0.003,8.621266146760205e-07,0.0002344526211769,2.605114519403974e-10,0.0004203271998815,8.753063338154458e-06,9.100429402943011e-05
b00067,1134812989,Blips,GW151012,111000,998.847,293.204,1731.858,2.77,27.472,2.390433161738489e-19,6.22980954194558e-05,1.4108355775133191e-09,5.886350608269277e-06,3.4058840971452797e-16,0.003,2.382671174291335e-07,0.0002626624784915,2.550891644501309e-19,0.003,4.0153940350568683e-08,0.0002868899848191,2.8133050437988974e-15,0.001,1.4745170074546729e-06,0.0001677341147245
b00068,1135213900,Blips,GW151012,111000,275.096,127.76,594.497,1.365,2.183,2.43530670033516e-08,5.3756579006267714e-05,1.6575184252791273e-07,4.353302229468145e-06,1.1697894663095853e-08,0.007,8.176548060097848e-06,0.0003244468969789,2.4722576494928183e-09,0.003,4.945652496558633e-06,0.0002735526648728,4.452132852947048e-09,0.003,6.88482028429135e-06,0.0002277432069857
b00069,1135220273,Blips,GW151012,111000,281.928,103.381,540.38,3.052,2.363,2.0202913509438653e-08,6.382174121294468e-05,7.967559017141817e-08,4.317453849509274e-06,1.2378805603241567e-09,0.005,4.583417317043272e-06,0.0002773093650455,1.153734397513725e-09,0.0006692135041164,4.97661238024531e-06,0.0001282783606339,5.687579055783161e-10,0.003,3.474280630110992e-06,0.0002332846539807
